model,cv_f1_mean,cv_f1_std,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc
Random Forest,0.624626206574221,0.016119299042841803,0.7771469127040455,0.5627615062761506,0.7192513368983957,0.6314553990610329,0.8374938644759616
Logistic Regression,0.6318418799479726,0.012441669936559065,0.7444996451383961,0.5123674911660777,0.7754010695187166,0.6170212765957447,0.8364966803585729
KNN,0.5489526189284683,0.02261381900749458,0.7750177430801988,0.5893416927899686,0.5026737967914439,0.5425685425685426,0.794667906688367
